No.,Time,Source,Destination,Protocol,Length,Info
6603,328.620511,192.168.1.10,20.190.145.141,TCP,1494,58092  >  443 [ACK] Seq=680 Ack=4011 Win=65280 Len=1440 [TCP PDU reassembled in 6606]
6604,328.620511,192.168.1.10,20.190.145.141,TCP,1494,58092  >  443 [ACK] Seq=2120 Ack=4011 Win=65280 Len=1440 [TCP PDU reassembled in 6606]
6605,328.620511,192.168.1.10,20.190.145.141,TCP,1494,58092  >  443 [ACK] Seq=3560 Ack=4011 Win=65280 Len=1440 [TCP PDU reassembled in 6606]
6606,328.620511,192.168.1.10,20.190.145.141,TLSv1.2,487,Application Data
6607,328.628599,20.190.145.141,192.168.1.10,TCP,54,443  >  58092 [ACK] Seq=4011 Ack=2120 Win=12582912 Len=0
6608,328.628599,20.190.145.141,192.168.1.10,TCP,54,443  >  58092 [ACK] Seq=4011 Ack=5000 Win=12582912 Len=0
6609,328.641814,20.190.145.141,192.168.1.10,TCP,54,443  >  58092 [ACK] Seq=4011 Ack=5433 Win=12582400 Len=0
6610,328.860634,20.190.145.141,192.168.1.10,TCP,10218,443  >  58092 [ACK] Seq=4011 Ack=5433 Win=12582400 Len=10164 [TCP PDU reassembled in 6611]
6611,328.860634,20.190.145.141,192.168.1.10,TLSv1.2,1074,Application Data
6612,328.860797,192.168.1.10,20.190.145.141,TCP,54,58092  >  443 [ACK] Seq=5433 Ack=15195 Win=65280 Len=0
6613,328.910896,192.168.1.10,142.250.193.106,UDP,71,60001  >  443 Len=29
6614,328.965514,142.250.193.106,192.168.1.10,UDP,67,443  >  60001 Len=25
6615,328.990041,192.168.1.10,192.168.1.1,DNS,89,Standard query 0x937e A v20.events.data.microsoft.com
6616,328.997075,192.168.1.1,192.168.1.10,DNS,233,Standard query response 0x937e A v20.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdaue01.australiaeast.cloudapp.azure.com A 13.70.79.200
6617,328.998441,192.168.1.10,13.70.79.200,TCP,66,58093  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
6618,329.055029,192.168.1.10,192.168.1.1,DNS,71,Standard query 0x9f00 A th.bing.com
6619,329.055153,192.168.1.10,192.168.1.1,DNS,71,Standard query 0x24d1 HTTPS th.bing.com
6620,329.062225,192.168.1.1,192.168.1.10,DNS,220,Standard query response 0x9f00 A th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.202.229.23 A 23.202.229.22
6621,329.063294,192.168.1.1,192.168.1.10,DNS,249,Standard query response 0x24d1 HTTPS th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net
6622,329.064297,192.168.1.10,23.202.229.23,QUIC,1292,"Initial, DCID=da31bfbffe62994e, PKN: 1, CRYPTO, CRYPTO, PING, PADDING, PING, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, PING, PING, PING, CRYPTO, PADDING, CRYPTO"
6623,329.064348,192.168.1.10,23.202.229.23,QUIC,1292,"Initial, DCID=da31bfbffe62994e, PKN: 2, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO"
6624,329.071595,23.202.229.23,192.168.1.10,QUIC,82,"Initial, SCID=4ba0f5ec92808a30, PKN: 1, ACK"
6625,329.071595,23.202.229.23,192.168.1.10,QUIC,1292,"Initial, SCID=4ba0f5ec92808a30, PKN: 2, ACK, PADDING"
6626,329.076128,23.202.229.23,192.168.1.10,QUIC,1292,"Initial, SCID=4ba0f5ec92808a30, PKN: 3, CRYPTO, PADDING"
6627,329.076128,23.202.229.23,192.168.1.10,QUIC,1292,"Handshake, SCID=4ba0f5ec92808a30"
6628,329.076128,23.202.229.23,192.168.1.10,QUIC,1292,"Handshake, SCID=4ba0f5ec92808a30"
6629,329.076128,23.202.229.23,192.168.1.10,QUIC,569,"Handshake, SCID=4ba0f5ec92808a30"
6630,329.076725,192.168.1.10,23.202.229.23,QUIC,81,"Handshake, DCID=4ba0f5ec92808a30"
6631,329.077339,192.168.1.10,23.202.229.23,QUIC,210,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6632,329.077593,192.168.1.10,23.202.229.23,QUIC,737,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6633,329.08323,192.168.1.10,23.202.229.23,QUIC,738,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6634,329.083834,23.202.229.23,192.168.1.10,QUIC,329,Protected Payload (KP0)
6635,329.083834,23.202.229.23,192.168.1.10,QUIC,330,Protected Payload (KP0)
6636,329.083834,23.202.229.23,192.168.1.10,QUIC,103,Protected Payload (KP0)
6637,329.083834,23.202.229.23,192.168.1.10,QUIC,63,Protected Payload (KP0)
6638,329.083834,23.202.229.23,192.168.1.10,QUIC,112,Protected Payload (KP0)
6639,329.084276,192.168.1.10,23.202.229.23,QUIC,74,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6640,329.084362,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6641,329.089948,23.202.229.23,192.168.1.10,QUIC,598,Protected Payload (KP0)
6642,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6643,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6644,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6645,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6646,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6647,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6648,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6649,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6650,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6651,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6652,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6653,329.089948,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6654,329.090111,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6655,329.090111,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6656,329.090111,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6657,329.090111,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6658,329.090111,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6659,329.090111,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6660,329.090255,192.168.1.10,23.202.229.23,QUIC,77,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6661,329.090311,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6662,329.090329,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6663,329.090415,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6664,329.090415,23.202.229.23,192.168.1.10,QUIC,1494,Protected Payload (KP0)
6665,329.090415,23.202.229.23,192.168.1.10,QUIC,1292,Protected Payload (KP0)
6666,329.090415,23.202.229.23,192.168.1.10,QUIC,112,Protected Payload (KP0)
6667,329.090425,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6668,329.090455,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6669,329.090494,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6670,329.090514,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6671,329.090549,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6672,329.090568,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6673,329.090597,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6674,329.090626,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6675,329.090651,192.168.1.10,23.202.229.23,QUIC,73,"Protected Payload (KP0), DCID=4ba0f5ec92808a30"
6676,329.09212,192.168.1.10,192.168.1.1,DNS,74,Standard query 0x65fe A assets.msn.com
6677,329.092268,192.168.1.10,192.168.1.1,DNS,74,Standard query 0xc3c8 HTTPS assets.msn.com
